msg_id,user_id,message,comparison_code,machine code,code by Q,Note,
4.42E+17,620453969,The Warning Signs That Depression is Affecting Your Relationship - Scientific American (blog) http://t.co/Hc83zM6GVw,1,4,4,,
4.42E+17,370282862,Georgian PM: 'Suicide' if Ukraine takes advice from Saakashvili http://t.co/3oETOJ6ljV,0,4,7,,
4.42E+17,22442114,"I really need to seek help. I go to bed at 11 and don't fall asleep til 4,the f**k !",0,2,1,sleeping problem,
4.42E+17,29126315,"rot in hell!! ‰ÛÏ@BostonGlobe: Update: Burbine died from injuries he suffered during a suicide attempt in jail earlier today, authorities say""",0,5,6,,
4.42E+17,401716464,Giving a fuck is the number one cause of depression,0,3,7,"should this be considered as ""information""?",
4.43E+17,25686073,Forever calling you when I'm really happy and hanging up wanting to commit suicide,0,6,1,,
4.43E+17,453572031,"Suicide bomber driving a minibus packed with explosives, kills at least 32 people, wounding close to 150 in Iraqi city of Hilla.",0,3,7,,
4.43E+17,2348971914,I just want my depression to go away. I'm so sick of feeling this way,1,1,1,,
4.43E+17,1387906231,Julia Roberts Nowhere To Be Seen At Memorial For Sister Who Committed Suicide: A memorial was held Saturday fo... http://t.co/XuhK0XEmO6,1,5,5,,
4.43E+17,996145146,Just wrote a poem about the issue of suicide. I feel the urge to share it. So i will soon,1,1,1,not sure if the post is showing the person himself/herself is at risk,
4.43E+17,625697849,"Bullying among kids tied to suicidal thoughts, suicide attempts - Yahoo News http://t.co/DFCDsvUyxt #google #health",0,1,6,or 4??,
4.44E+17,848481960,#hikpop 'Jjak' shut down after suicide Public broadcaster SBS announced that it will shut down the match-m... http://t.co/3h2HBjPTku,0,2,6,,
4.44E+17,372218424,What Does Depression Feel Like? http://t.co/fhEcWkUYqo,0,1,4,,
4.44E+17,2206887799,#Oregon cat attack: family seeks therapy for pet after 911 call to control animal http://t.co/ERBfRISkbZ 'Lee Palmer will seek help for ...',0,2,7,,
4.44E+17,39643796,Good thing I didn't end up putting suicide doors on my car. I'm giving up on it lol,1,1,1,"not sure what ""suicide doors"" are",
4.44E+17,1662819001,"one more day! If you don't have your #free copy yet, grab it now.
http://t.co/YAXAMeoXT5
#kindle #fantasy #humor #depression #5star",0,1,7,,
4.44E+17,16004647,@ThatsSoKrista call the police seek help this woman is unstable,0,2,1,seems reporting another person being at risk,
4.45E+17,249423107,"Jon Corzine's Son, 31, Commits Suicide In Mexico After Years Fighting Depression | Fox News Latino http://t.co/jipqF66PSn via @foxnewslatino",0,5,6,,
4.46E+17,3761241,"Suicide bomber kills at least 15 in Afghanistan: KABUL, Afghanistan (AP) ‰ÛÓ A suicide bomber riding a rickshaw ... http://t.co/LLFaON8mVl",0,3,7,,
4.46E+17,2388434754,"If you need help with self harm, poor body image, depression ect then DM me. I have suffered from this... Trust me, it gets better!",0,2,4,,
4.46E+17,23444554,2 Canadian military- Captain &amp;  Major suicide themselves over weekend &amp; 2 Trident marine security heroin overdose themselves earlier #MH370,1,6,6,,
4.46E+17,109479532,"‰ÛÏOrgasms are good for your health! They can lower a woman's risk of heart disease, stroke, breast cancer and even depression.‰Ûù @n4k3d_ ;)",1,4,4,,
4.47E+17,2387009144,L'Wren Scott Death Confirmed As Suicide By Hanging As The Rolling Stones ... - Entertainmentwise: Entertainmen... http://t.co/Z6hh15sAqZ,1,6,6,,
4.47E+17,2326881458,examiner confirms L'Wren Scott's suicide by hanging - Newsday: CNN Internationalexaminer confirms L'Wren Scott... http://t.co/64fRfHItCR,1,6,6,,
4.47E+17,2248314571,// I had friends abandoned me for being depressed. And that's why I don't have any. Because of my depression. Hate it? Get out of my life!//,0,3,1,,
4.47E+17,1286941844,Vitamin D Blog: D Has No Effect on Depression http://t.co/UQGyl2jGRP,0,4,6,,
4.47E+17,635156221,@danieru1331 I'm mad because you made fun of me and aces self harm and suicide thoughts you nasty ass,1,1,1,,
4.47E+17,1947590034,"I usually think that prople are too weak to commit suicide but when I hear that they did it, I feel weak to believe it.",0,1,7,reaction to suicide,
4.47E+17,199600220,is that so? @Fact: Not having enough sex can put you at risk of anxiety paranoia and depression.,0,7,6,reaction to news,
4.48E+17,813537504,A girl named Natalie committed suicide two days ago... creepy,0,5,6,reaction to suicide,
4.49E+17,2425410191,I can't stop cutting I don't feel the pain any longer #cutting #cutter #depression #depressed #dead #blood #blade,1,1,1,,
4.49E+17,268453591,"15 - severe depression
16 - mystery migraines, was hospitalised
17 - dad died
18 - health fucking me over for most of this term
its a curse",0,3,1,,
4.49E+17,634188476,@paiute023 suspects telling people Morgan committed suicide from day one even when the official manner was natural causes.,0,5,6,reaction to news,
4.49E+17,340905953,"my psych teacher just said ""money doesn't buy happiness"" .... bruhhh yes the fuck it do. Being broke would lead my ass to depression",0,3,1,not sure if the post is showing the person himself/herself is at risk,
4.50E+17,2177828341,#ff @gurpreetsarai @SwanseaMind @TTCWales Please share &amp; take our survey:Mental Health Awareness &amp; Suicide Prevention http://t.co/uoprAUsOU9,0,4,2,,
4.50E+17,558111144,Post concert depression  #KCA #VoteTheWantedUK,0,7,2,,
4.51E+17,2391510491,"RT""@iLLmaverick: Will you shut the fvck up?! ""@37thson: Aii there I failed again! Am fucked! Suicide is seriously an option!""""",0,2,1,,
4.51E+17,36657413,"Controversial Trinidad pastor kills brother, self in apparent murder-suicide http://t.co/UrxUzbLYMB",0,3,6,,
4.51E+17,2409873027,Tru beta belv it:our dog commits suicide after strugglin 4 days with a fish bone traped in da mouth by ... http://t.co/ZjiJjWO95d,0,5,7,,
4.52E+17,16020526,"@maddow Let's talk drugs &amp; killings. One daughter saw things that weren't there on Ambien &amp; had to quit, Another tried suicide on Zoloft.",0,3,1,not sure if the post is showing the person himself/herself is at risk,
4.52E+17,1666713926,"Roxanne committed suicide today. She adored the boys, &amp; really wanted to meet them She was bullied, and couldnt take it anymore. #RIPRoxanne",1,5,5,reaction to suicide,
4.52E+17,16752148,Obama outlawed talk of Christ in Military. ‰ÛÏ@tweetdrudge: EPIDEMIC: At Least 22 Veterans Commit Suicide Each Day‰Û_ http://t.co/iK1YnHC59u ‰Ûù,0,5,6,,
4.53E+17,1977708144,YOU NEED HELP SEEK HELP YOUR ARE A SICK MAN CAPT KIRK,0,2,4,,
4.53E+17,826997340,"@depressedfreakk nan died, mum had cancer in her breast, close family friend died from suicide yesterday &lt;3",0,5,1,maybe risk of emotional disstress,
4.53E+17,471713827,As she lay dying: Depression and my mother‰Ûªs sad...  http://t.co/SS1dSmi5VJ PsychCentral #psychology,0,7,6,,
4.53E+17,423141092,My health project is teen suicide btw which should be interesting,0,4,7,study subject,
4.53E+17,53473020,"Photo: dying‰ÛÓsoul: sklnsgifs: ‰ªÁfollow for more‰ªÁ black and white depression blog, i follow back similar x http://t.co/ckzii0pfmV",0,4,1,,
4.54E+17,213226750,reasearch as demonstrated this herbs powerful antioxidant effect new blog #depression http://t.co/h3rJ5DC7oK,0,4,6,,
4.54E+17,344740496,We miss you Lucker (suicide sillence) http://t.co/1KaZbsshwr,1,5,5,,
4.54E+17,556598797,@Brian_Sussman  It really sound like has depression or is feeling very guilty,1,1,1,not sure if the post is showing the person himself/herself is at risk,
4.54E+17,2303689718,@Troll_e_Azam then why did u say commit suicide 2day....indirest implication,0,5,1,not sure if the post is showing the person himself/herself is at risk,
4.54E+17,250693957,"Security officials prevent jobless graduate from committing suicide: Sunday Omotayo, an unemployed graduate of... http://t.co/txDsoeXYWF",0,5,6,,
4.54E+17,1396063964,‰ÛÏ@arianahunty: I'm gonna commit suicide because all the hate and no one is believing me _Ù÷Ó_ÙÔÜ‰Ûù sit the fuck down and shut the fuck up,0,2,1,,
4.55E+17,48383145,"""One US war veteran commits suicide every hour of today"" http://t.co/4oxCkKcjEc",0,5,6,,
4.56E+17,622089095,Mental Health: Risk of Postnatal Depression in Young First-Time Fathers Rises ... http://t.co/tcrKYQzBfa,0,4,6,or 4??,
4.56E+17,1169228437,It's sad when people say to feel better instead of giving people credit for talking themselves out of suicide and depression all the time.,0,1,4,not sure if the post is showing the person himself/herself is at risk,
4.56E+17,1541449628,"A man received the transplanted heart of a suicide victim, married the donor's widow, killed himself exactly the same way the donor did!",0,3,6,,
4.56E+17,949818642,"""@HealthRelieve: Not having enough sleep per day leads to desire for sex, depression and alcoholism."" This explains a lot haha",0,4,6,,
4.56E+17,1245364664,New fathers may need help with depression: study NEW YORK (Reuters Health) - Becoming a father may raise a yo... http://t.co/ohLcIrLQ5r,0,2,6,or 4??,
4.57E+17,1734654949,"people who die by suicide don‰Û÷t want to end their life, they want to end their pain.",1,1,1,not sure if the post is showing the person himself/herself is at risk,
4.57E+17,199143804,"#Prenatal use of #SSRIs may raise risks for #autism, developmental delays http://t.co/nz2LGi5JWN #health #depression #parenting",1,4,4,,
4.57E+17,36749133,"Wow! Depression is so cool, romantic and interesting! You know, not being able to get out of bed and feeling dead inside is where it's at. _Ù÷Õ",1,1,1,,
4.58E+17,249495613,@NinaintheAir it's seriously the worst. It's not even the depression itself. It's just the feeling of helplessness.,1,1,1,,
4.58E+17,1559355625,@crazylonelylife Have you ever been referred for DBT ? Or any other therapy to help cope with SH/suicide urges/thoughts ?,0,1,4,or 1?,
4.59E+17,2359728440,Good advice. #notme #ana #mia #skinny #thighgap #eatingdisorder #depression #thinspo #thin‰Û_ http://t.co/QWByLwTJZi,1,4,4,,
4.59E+17,287208229,"Foto: suicide-is-my-father: psychotic-torture: sad black and white blog, I follow back similar åÊ http://t.co/8KVu3V40zB",0,4,1,,
4.59E+17,197421353,"""@ShazwaniSr: When i needed help, you are the first person i seek help from. But it totally dissapoints me when you dont bother helping.""",0,2,1,,
4.60E+17,1715628433,"programing this generation to massive destruction,hatred,anger, frustration,rejection, grift, pains ,harshness, and depression",0,3,1,,
4.60E+17,1674276912,‰ÛÏ@LOHANTHONY: @Real_Liam_Payne please don't overdose.... suicide is not the answer‰Ûù go find a thumbtack and sit on it,0,6,4,or 1?,
4.60E+17,1699179102,@thesearesongs is that Suicide Mouse in your avi?  That is the creepiest creepypasta ever.,1,7,7,,
4.61E+17,472448540,I will never understand suicide. If you need someone. I'm always here. Idc if I don't know you..I'm here to help.,0,2,4,,
4.61E+17,312391242,Foto: be-cutfree-and-hope: Follow a depression blog with a little pinch of happiness. http://t.co/ZJaoQxWLuq,0,4,1,not sure if the post is showing the person himself/herself is at risk,the blog is depressing
4.61E+17,331004790,like SHUT UP you dont have depression youve never even been to a real DOCTOR about it how can you possibly KNOW maybe its just pms,0,2,1,,
4.61E+17,256466362,"Nothing annoys me more then when people tell others to ""kill themselves"" it's fucking disgusting.
If you'd ever lost someone to suicide (c).",0,3,7,reaction to suicide,
4.61E+17,1104938408,Suicide bomber kills 30 at Kurdish rally in eastern Iraq http://t.co/YF6QWA1blL,0,3,7,,
4.61E+17,18058977,"Please, watch this video. If you need help with Depression, send us a private message.  http://t.co/JT8wlp87Vd",0,2,4,,
4.61E+17,39697291,"People who say ""Goodnight"" on social media networks truly sadden me. #sololife #depression #yolo",0,7,1,reaction to others' depression?,
4.61E+17,223290284,"@KitchenWitchNar @PenPaperPad I find changing my writing routine helps w/ my depression, ie switching from blogging to haiku. #writestuff",0,4,1,self-help,
4.62E+17,2320657810,Fun fact: Hitler committed suicide 69 years ago today!,0,5,7,,
4.62E+17,2454257382,http://t.co/eWhczoGFql Suicide Bomber Kills Soldier in Egypt‰Ûªs Sinai ‰ÛÒ NYT &gt; World,0,3,7,,
4.63E+17,2257207813,"‰ÛÏ@Factsionary: Depression linked to memories: ""You still catch yourself feeling sad about things that don‰Ûªt matter anymore.""‰Ûù",0,1,4,,
4.63E+17,597465794,The Mental Health Commission of Canada hopes members of Parliament will jump on board with a suicide-prevention program it's launching today,1,4,4,,
4.63E+17,594118259,"_ÙÎ__ÙÎù_ÙÎ__ÙÎù_ÙÎ__ÙÎù
dear michael clifford from 5sos 
follow me bc ive been trying since the great depression
pls and ty @Michael5SOS 
_ÙÎ__ÙÎù_ÙÎ__ÙÎù_ÙÎ__ÙÎù 2309",0,7,3,not sure if the post is showing the person himself/herself is at risk,
4.64E+17,252753598,"Toronto man pushes limits of Canada's assisted suicide debate: A Toronto man‰Ûªs decision to end his life, simply because he felt it wa...",0,1,7,,
4.64E+17,713463571,"Nehemiah 2:7-9. As well, as helping our brother in his time of need, we should be humble enough to seek help. Join http://t.co/KooE91fert",0,2,4,seek help,
4.64E+17,210151188,Hugs are great! Suicide loss survivors need lots of emotional support and a hug sometimes can help them make it through a whole day.,0,2,4,,
4.65E+17,1315370172,"@hayzarry and then they get so upset but when you say kys they're like ""suicide isn't a joke you sick fuck!!1!!""",0,3,1,,
4.65E+17,908640770,@Drift0r I think ARX-160's min damage should be buffed. 17 means 6 bullets to kill = long range suicide. Longshots take forever to get,1,3,3,"not sure what ""long range suicide"" mean",
4.65E+17,203511443,I have a very strong hatred for people who use depression and self harm to get attention,0,3,7,,
4.65E+17,198654456,Man why the fuck did Hernan leave All Shall Perish for suicide silence _Ù÷¢,0,3,7,,
4.65E+17,345638177,"Just watched a moth fly straight into a puddle and commit suicide. Thanks dude, you're really making me feel optimistic right now.",0,1,7,,
4.66E+17,193392482,DO YOU THINK I CARE ABOUT YOUR FANFIC?! ONE OF MY TWITTER FRIENDS MAY HAVE JUST COMMITTED SUICIDE. I DONT CARE ABOUT A FANFIC!!,0,7,5,reaction to suicide,
4.66E+17,401175263,"Wow RT ""@teala: People from Montreal need to seek help http://t.co/YDAInjXHKf""",0,2,6,,
4.66E+17,2517237335,It would be interesting if I ended it on anti-suicide day _Ù÷Ó,1,1,1,,
4.66E+17,906314390,that's exactly what depression feels like http://t.co/61oVdS8G7r,1,1,1,,
4.67E+17,2200367083,"""I've sent men on suicide missions in two wars now, and let me tell you something; it don't make a Gods' damned bit of difference.""",0,5,7,rhetoric,
4.67E+17,2156768838,Julia Roberts' half-sister died from a suicide and not an accidental overdose ... - New York Daily News http://t.co/NnP1O5Xi2P,1,6,6,,
4.68E+17,875705425,"This is 100% accurate
#fat#ugly#cow#pig#whale#pity#hate#blithe#trying#hurting#pain#sue#suicidal#deb#depression#li... http://t.co/XpUou6P8jL",0,3,1,not sure if the post is showing the person himself/herself is at risk,
4.69E+17,88779495,At Wing Stop about to commit suicide via overdose on delicious fries and wings.,0,6,7,rhetoric,
4.69E+17,292831032,"@highnessjessica my last reply was crappy (big help, autocorrect!) but what I meant was suicide thoughts are everywhere. You have prolly",0,1,4,"not sure what ""prolly"" means",
4.69E+17,480160053,@WhatTheFFacts terrorists guys fuck terrorist attacks and suicide bombers,0,3,7,,
4.69E+17,1624339008,"The Gods are factually deaf, blind and mortal too! No need to seek help from them when it comes to eliminate our delusions. Help yourself",0,2,7,,
4.70E+17,1516929492,The Health Benefits Of Tai Chi - http://t.co/nJ1e72XETm #Depression,1,4,4,,
4.70E+17,1626025542,Photo: thisplaceisaliving-hell: B&amp;W depression blog http://t.co/ZhNz8PNNcB,0,4,1,not sure if the post is showing the person himself/herself is at risk,
4.71E+17,631140853,@Calum619x Shut the fuck up. Be sad. Go into a deep depression. Cunt.,0,2,1,,
4.71E+17,54998393,"""Iraq: Suicide Attack Kills at Least 14 in Baghdad"" by THE ASSOCIATED PRESS via NYT http://t.co/jL5B2jRUV2 #spsm #suicide #prevention",0,3,7,,
4.71E+17,2497696916, @DevilParty666 OMFG....now im crying i really miss him.....suicide silence and then bludgeoned to death,1,5,5,,
4.72E+17,117233101,Can somebody put me in suspended animation until they come up with a cure for depression that doesn't involve feeling dead inside?,1,1,1,,
4.72E+17,552513637,TurboFire helped this new mom get passed her post-partum depression and feels great with herself. Don't fall out... http://t.co/odK61m8bf7,0,1,4,,
4.72E+17,244840833,@PeteWiddles Depression hurts man. It feels terrible and nobody should have to deal with it constantly.,1,1,1,,
4.72E+17,371236177,@TheKnowledge: J.K. Rowling once contemplated suicide. It was this feeling which inspired soul-sucking Dementors in the Harry Potter series.,0,1,4,not sure if this is for encouraging someone,
4.73E+17,261981102,"Glossy News - Stephanie from LazyTown, Dead of Apparent Suicide Overdose http://t.co/ytOicmqRSi",1,6,6,,
4.74E+17,636324443,Why 17-Year Old Nigerian Student Committed Suicide In America: 17-year-old Nigerian-American High School Stude... http://t.co/unyR5XhCrm,0,5,6,,
4.74E+17,2183954691,"[June 04, 2014 at 03:42PM] Suicide bomber killed in Iraq part of wider jihadi base in Calgary - Canada via http://t.co/4CXxrZg4iE",0,3,7,,
4.75E+17,464791312,Suicide attack in Pakistan kills 5 http://t.co/cDToZW4xwp,0,3,7,,
4.75E+17,2439582685,#1: The Forgotten Man Graphic Edition: A New History of the Great Depression: The Forgotten Man Graphic Edition:... http://t.co/FufWczzbCf,1,7,7,,
4.75E+17,1289706331,My friend tried to commit suicide last night...now I understand how people felt when I did the same one year ago..._Ù÷__Ù÷_ #iloveyousandra _ÙÕ¥,0,5,1,not sure if the post is showing the person himself/herself is at risk,
4.76E+17,749079601,Photo : boys-and-suicide: litllemissperfectt: Why does this make me so fucking calm.. Close your eyes as... http://t.co/697KgM4n6R,0,3,1,not sure if the post is showing the person himself/herself is at risk,
4.76E+17,1098749666,I may or may not need to seek help for my joe tea addiction,0,2,7,rhetoric,
4.76E+17,24005814,"@celticbars 5,000 mls walk 86 counties uk. #console suicide prevention. @haz66 needs a bed tonight in #puddlestown anyone help?
07582443707",1,2,2,,
4.76E+17,2526974256,"@Dae_Aeon @_Bromh Yeah well when there's cunts like you in the world, i have to boost up the suicide rates in adolescents y'feel?",1,1,1,,
4.76E+17,274219893,Question: I think I need help but don't know what to do? Drugs and suicide on my mind constantly!'? http://t.co/TPIaiXc8Sc,0,2,1,,
4.76E+17,562279362,"Having negative friends is linked to depression, lowered self esteem, insomnia and anxiety. positive friends promote good overall health.",1,4,4,,
4.77E+17,1929604704,Did you know? Suicide by jumping makes you feel pain not more than an injection.,1,1,1,not sure if the post is showing the person himself/herself is at risk,
4.77E+17,1193628180,@ndtvfeed why Media always always biased towards females?  R u aware 65000 married men commit suicide every year? http://t.co/x7nF0WFCs2,0,5,6,,
4.77E+17,218245218,Dido dies and Anna is left convinced that Dido blames her for her suicide... Resentment which bred for hundreds of years until Punic wars,0,5,7,,
4.77E+17,1474123658,@XsQuestmistress You want to maybe focus on running the quest and making it fun instead of committing suicide in the QTG?,0,7,3,not sure what this is about,
4.78E+17,1032137846,call me crazy but i prefer being depression i feel like that's what i deserve to be shit hurt but i  just don't deserve to be  happy..,1,1,1,,
4.78E+17,182798693,Suicide doesn't end pain. It just spreads that pain around to all the people you love. #Breathe _Ùªè,0,1,2,,
4.78E+17,361935088,"[India] Girl found hanging from tree committed suicide, says UP police - Zee News http://t.co/JCJ6xkQlOt http://t.co/2VSX1yx2fT",1,6,6,,
4.79E+17,268536859,You know what we call people who mess with us? Suicide. -Windhelm Guards (ES: Skyrim),0,7,3,not sure what this is about,
4.80E+17,1676607866,"#anxiety #stress #depression Bullying can have damaging, long-lasting effects. To make a diff, I've released a book. See profile for website",1,4,4,,
4.81E+17,567562997,@BabyBunnsxoxo a smart girl gets raped in college so she goes thru depression and drugs and shit but at the end she gets revenge it's crazy,0,1,6,,
4.81E+17,1156117957,South Korean soldier who killed 5 captured after failed suicide attempt: A South Korean soldier who fled after... http://t.co/i7Cxf4PHH2,0,3,6,,
4.81E+17,2351996678,Top 3 #behavioralhealth priorities for Health Services in #FinneyCounty survey results are #drugabuse #alcoholabuse &amp; #depression in adults,0,4,6,,
4.81E+17,2612189481,#gameinsight #android #RT Beat Depression - The Drug Free WayBeat Depression - The Drug Free WayBeat Depression -... http://t.co/BdODo94Nom,0,7,4,or 2?,
4.81E+17,737662800,"Doctors' health at risk from stress: Suicide rate is twice as high among doctors as general population, and divorce rates 20 to 30 pe...",0,4,6,,
4.82E+17,2174696743,": How to Fight Depression and Feel Awesome without Drugswww.bulletproofexec.comIf you‰Ûªre like most people, som... http://t.co/m4HokEiNm1",0,1,4,,
4.82E+17,138221035,Andrew Stern -- Suicide Attempt at Gun Range 2 Months Before Death: Andrew Stern -- who committed suicide Sunday... http://t.co/bZy1m84VNA,0,5,6,,
4.82E+17,92328098,Free online tool offers help to teens and adults with depression  (via @thejournal_ie) http://t.co/oC5qQ8oFCF,0,2,4,,
4.83E+17,408004183,Valcke: Suarez needs to seek help http://t.co/RVv0tIlHZ4,0,2,4,,
4.83E+17,123377651,@wombatkx but the police have shut the case as suicide. Why would someone reopen a case if it's already shut? Interesting theory though,0,2,6,reaction to news,
4.83E+17,2325855575,@Sarah_HortmanRD please follow my journey against obesity and depression. I need lots of support and help. Thank you.,0,2,1,or 4??,
4.83E+17,501971028,Looking after and caring for #pets is great for mental health and well being... http://t.co/HmtWkydZEs #cats #animaltherapy #depression,1,4,4,,
4.83E+17,451828786,Bands saved me from depression,0,7,4,,
4.83E+17,798206718,Recognize Depression - godspromisedhealth: Check out http://t.co/j911LCggI1! God s Promised Health... http://t.co/V30YvL8RqO,1,4,4,,
4.83E+17,438571842,"Old fucks the depression is over, tip more from an insolent millennial",1,3,3,not sure what this is about,
4.83E+17,91654888,I can't wait to hear the new suicide silence record. Fucking love eddies vocals,0,3,7,band name,
4.84E+17,2537496548,Photo: mary-had-a-little-noose: B+W Depression Blog xx http://t.co/O3LzJIu1fE,0,4,1,not sure if the post is showing the person himself/herself is at risk,
4.84E+17,44369170,@MichelineBowman I wanted to speak to you about my annual suicide awareness / community day event Aug 9th I need help http://t.co/KgkmEnpdcn,1,2,2,,
4.85E+17,306088276,#CaIIMeCam I'll be calling suicide helpline if this shit carries on_Ù÷Õ,0,2,1,,
4.85E+17,962358458,Statistics prove suicide is common in days after 1st attempt! Why did @MPHPatrick OK threatening letter? #mhpricare http://t.co/CkhDZw0Qx2,0,5,6,,
4.85E+17,22597474,"Family Calls 911 As Son Threatens Suicide, Cops Show Up &amp; Kill Him http://t.co/Zdw4zKbGPn How tragic. Better to call ambulance &amp; Baker Act.",0,3,4,,
4.85E+17,855925326,Suicide bomber kills 15 in attack on Iraq forces #Berita #Kabar,0,3,7,,
4.86E+17,1902188623,"Man Seeking  to Highlight Son's Suicide due to Bullying over Sexuality, is Killed - News - Bubblews #bubblews http://t.co/Cd8o8NX81p",0,3,6,,
4.87E+17,76421041, @LeonoraKrause please watch and tweet this video on suicide and bullying ‰ù_•üè‰ù_•üè http://t.co/4qiffav4oD,0,7,6,or 2?,
4.87E+17,389254749,You just cannot keep hanging on. Seek help from our psychics in moving on... .. http://t.co/2wBPCwgCUm,0,6,4,,
4.88E+17,2271398388,New blog post - Nothing is Right part 1. http://t.co/ZWwscFjdXl #depression,0,4,7,,
4.88E+17,235913362,"You feel like committing suicide. ""@its_vahnessah: When a song says it all for you""",0,7,1,not sure if the post is showing the person himself/herself is at risk,
4.88E+17,316583662,Another 9ja guy commits suicide  by hanging himself on a rope in his room after he was jilted by his lover: åÊ ... http://t.co/nsNwxackQ6,1,6,6,,
